platform,placement,target_url,utm_url
pinterest,soap-formats,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=soap-formats
pinterest,kraft-spec,https://apexpackagingsolutions.com/services/custom-kraft-boxes,https://apexpackagingsolutions.com/services/custom-kraft-boxes?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=kraft-spec
pinterest,artwork-check,https://apexpackagingsolutions.com/design-support,https://apexpackagingsolutions.com/design-support?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=artwork-check
pinterest,quote-brief,https://apexpackagingsolutions.com/contact,https://apexpackagingsolutions.com/contact?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=quote-brief
pinterest,portland-assortments,https://apexpackagingsolutions.com/locations/portland-custom-packaging,https://apexpackagingsolutions.com/locations/portland-custom-packaging?utm_source=pinterest&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=portland-assortments
linkedin,six-detail-brief,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21?utm_source=linkedin&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=six-detail-brief
facebook,soap-sample-check,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21?utm_source=facebook&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=soap-sample-check
instagram,soap-sample-check,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21?utm_source=instagram&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=soap-sample-check
x,soap-brief,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21?utm_source=x&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=soap-brief
threads,soap-brief,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21?utm_source=threads&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=soap-brief
youtube,soap-brief-short,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21,https://apexpackagingsolutions.com/blog/soap-boxes-for-handmade-and-retail-brands-2026-09-21?utm_source=youtube&utm_medium=organic_social&utm_campaign=2026-09-21-soap-packaging&utm_content=soap-brief-short
